"Date	ActualValue13	ForecastValue13	PreviousValue13"
"2024.05.15	0.3	0.3	-0.1"
"2024.04.30	0.3	0.1	-0.1"
"2024.03.08	0.0	0.0	0.0"
"2024.02.14	0.0	0.0	0.0"
"2024.01.30	0.0	-0.1	-0.1"
"2023.12.07	-0.1	-0.1	-0.1"
"2023.11.14	-0.1	-0.1	-0.1"
"2023.10.31	-0.1	0.2	0.2"
"2023.09.07	0.1	0.3	0.3"
"2023.08.16	0.3	0.3	0.3"
"2023.07.31	0.3	0.0	0.0"
"2023.06.08	-0.1	0.1	0.1"
"2023.05.16	0.1	0.1	0.1"
"2023.04.28	0.1	0.0	0.0"
"2023.03.08	0.0	0.1	0.1"
"2023.02.14	0.1	0.1	0.1"
"2023.01.31	0.1	0.2	0.3"
"2022.12.07	0.3	0.2	0.2"
"2022.11.15	0.2	0.2	0.2"
"2022.10.31	0.2	0.7	0.8"
"2022.09.07	0.8	0.6	0.6"
"2022.08.17	0.6	0.7	0.7"
"2022.07.29	0.7	0.4	0.5"
"2022.06.08	0.6	0.3	0.3"
"2022.05.17	0.3	0.2	0.2"
"2022.04.29	0.2	0.3	0.3"
"2022.03.08	0.3	0.3	0.3"
"2022.02.15	0.3	0.3	0.3"
"2022.01.31	0.3	2.2	2.3"
"2021.12.07	2.2	2.2	2.2"
"2021.11.16	2.2	2.2	2.2"
"2021.10.29	2.2	2.1	2.1"
"2021.09.07	2.2	2.0	2.0"
"2021.08.17	2.0	2.0	2.0"
"2021.07.30	2.0	-0.4	-0.3"
"2021.06.08	-0.3	-0.6	-0.6"
"2021.05.18	-0.6	-0.6	-0.6"
"2021.04.30	-0.6	-0.7	-0.7"
"2021.03.09	-0.7	-0.6	-0.6"
"2021.02.16	-0.6	-0.7	-0.7"
"2021.02.02	-0.7	15.3	12.4"
"2020.12.08	12.5	12.6	12.6"
"2020.11.13	12.6	12.7	12.7"
"2020.10.30	12.7	-14.1	-11.8"
"2020.09.08	-11.8	-12.1	-12.1"
"2020.08.14	-12.1	-12.1	-12.1"
"2020.07.31	-12.1	-4.7	-3.6"
"2020.06.09	-3.6	-3.8	-3.8"
"2020.05.15	-3.8	-3.8	-3.8"
"2020.04.30	-3.8	0.1	0.1"
"2020.03.10	0.1	0.1	0.1"
"2020.02.14	0.1	0.1	0.1"
"2020.01.31	0.1	0.2	0.3"
"2019.12.05	0.2	0.2	0.2"
"2019.11.14	0.2	0.2	0.2"
"2019.10.31	0.2	0.2	0.2"
"2019.09.06	0.2	0.2	0.2"
"2019.08.14	0.2	0.2	0.2"
"2019.07.31	0.2	0.4	0.4"
"2019.06.06	0.4	0.4	0.4"
"2019.05.15	0.4	0.4	0.4"
"2019.04.30	0.4	0.2	0.2"
"2019.03.07	0.2	0.2	0.2"
"2019.02.14	0.2	0.2	0.2"
"2019.01.31	0.2	0.2	0.2"
"2018.12.07	0.2	0.2	0.2"
"2018.11.14	0.2	0.3	0.2"
"2018.10.30	0.2	0.4	0.4"
"2018.09.07	0.4	0.3	0.4"
"2018.08.14	0.4	0.3	0.3"
"2018.07.31	0.3	0.4	0.4"
"2018.06.07	0.4	0.4	0.4"
"2018.05.15	0.4	0.5	0.4"
"2018.05.02	0.4	0.6	0.7"
"2018.03.07	0.6	0.6	0.6"
"2018.02.14	0.6	0.6	0.6"
"2018.01.30	0.6	0.6	0.7"
"2017.12.07	0.6	0.6	0.6"
"2017.11.14	0.6	0.6	0.6"
"2017.10.31	0.6	0.6	0.7"
"2017.09.07	0.6	0.6	0.6"
"2017.08.16	0.6	0.6	0.6"
"2017.08.01	0.6	0.6	0.5"
"2017.06.08	0.6	0.5	0.5"
"2017.05.16	0.5	0.4	0.5"
"2017.05.03	0.5	0.4	0.5"
"2017.03.07	0.4		0.4"
"2017.02.14	0.4		0.5"
"2017.01.31	0.5		0.4"
"2016.12.06	0.3		0.3"
"2016.11.15	0.3		0.3"
"2016.10.31	0.3		0.3"
"2016.09.06	0.3		0.3"
"2016.08.12	0.3		0.3"
"2016.07.29	0.3		0.6"
"2016.06.07	0.6		0.5"
"2016.05.13	0.5		0.6"
"2016.04.29	0.6		0.3"
"2016.03.08	0.3		0.3"
"2016.02.12	0.3		0.3"
"2015.12.08	0.3		0.3"
"2015.11.13	0.3		0.4"
"2015.09.08	0.4		0.5"
"2015.08.14	0.3		0.4"
"2015.06.09	0.4		0.4"
"2015.05.13	0.4		0.3"
"2015.03.06	0.3		0.3"
"2015.02.13	0.3		0.2"
"2014.12.05	0.2		0.2"
"2014.11.14	0.2		0.0"
"2014.09.05	0.0		0.0"
"2014.08.14	0.0		0.2"
"2014.07.02	0.2		0.2"
"2014.06.04	0.2		0.2"
"2014.05.15	0.2		0.2"
"2014.04.02	0.2		0.3"
"2014.03.05	0.3		0.3"
"2014.02.14	0.3		0.1"
"2014.01.10	0.1		0.1"
"2013.12.04	0.1		0.1"
"2013.11.14	0.1		0.3"
"2013.10.07	0.3		0.3"
"2013.09.04	0.3		0.3"
"2013.08.14	0.3		-0.3"
"2013.07.04	-0.3		-0.2"
"2013.06.05	-0.2		-0.2"
"2013.05.15	-0.2		-0.6"
"2013.04.05	-0.6		-0.6"
"2013.03.06	-0.6		-0.6"
"2013.02.14	-0.6		-0.1"
"2013.01.09	-0.1		-0.1"
"2012.12.06	-0.1		-0.1"
"2012.11.15	-0.1		-0.2"
"2012.10.05	-0.2		-0.2"
"2012.09.06	-0.2		-0.2"
"2012.08.14	-0.2		0.0"
"2012.06.06	0.0		0.0"
"2012.05.15	0.0		-0.3"
"2012.03.06	-0.3		-0.3"
"2012.02.15	-0.3		0.2"
"2011.12.06	0.2		0.2"
"2011.11.15	0.2		0.2"
"2011.10.05	0.2		0.2"
"2011.09.06	0.2		0.2"
"2011.08.16	0.2		0.8"
"2011.07.06	0.8		0.8"
"2011.06.08	0.8		0.8"
"2011.05.13	0.8		0.3"
"2011.04.06	0.3		0.3"
"2011.03.03	0.3		0.3"
"2011.02.15	0.3		0.3"
"2011.01.07	0.3		0.4"
"2010.12.02	0.4		0.4"
"2010.11.12	0.4		1.0"
"2010.10.06	1.0		0.3"
"2010.09.02	1.0		0.2"
"2010.08.13	1.0		0.2"
"2010.07.07	0.4		0.2"
"2010.06.04	0.2		-2.1"
"2010.05.12	0.1		0.2"
"2010.04.07	0.2		0.1"
"2010.03.04	0.1		0.1"
"2010.02.12	0.1		0.4"
"2010.01.08	0.4		0.4"
"2009.12.03	0.4		0.4"
"2009.11.13	0.4		-0.1"
"2009.10.07	-0.1		-0.1"
"2009.09.02	-0.1		-0.1"
"2009.08.13	-0.1		-2.5"
"2009.07.08	-2.5		-2.5"
"2009.06.03	-2.5		-2.5"
"2009.05.15	-2.5		-1.8"
"2009.04.07	-1.8		-1.5"
"2009.03.05	-1.5		-1.5"
"2009.02.13	-1.5		-0.6"
"2009.01.08	-0.6		-0.2"
"2008.12.04	-0.2		-0.2"
"2008.11.14	-0.2		-0.2"
"2008.10.08	-0.2		-0.2"
"2008.09.03	-0.2		-0.2"
"2008.08.14	-0.2		0.7"
"2008.07.09	0.7		0.8"
"2008.06.03	0.8		0.7"
"2008.05.15	0.7		0.4"
"2008.04.09	0.4		0.7"
"2008.03.04	0.4		0.4"
"2008.02.14	0.4		0.3"
"2008.01.09	0.3		0.7"
"2007.11.30	0.7		0.7"
"2007.11.14	0.7		0.3"
"2007.10.11	0.3		0.3"
"2007.09.04	0.3		0.3"
"2007.08.14	0.3		0.8"
"2007.07.12	0.8		0.6"
"2007.06.01	0.6		0.6"
"2007.05.15	0.6		0.9"
"2007.04.12	0.9		0.9"
"2007.03.06	0.9		0.6"
"2007.02.13	0.6		"
