"Date	ActualValue18	ForecastValue18	PreviousValue18"
"2024.04.24	2.54		2.38"
"2024.04.03	2.38		2.30"
"2024.03.26	2.30		2.31"
"2024.03.13	2.31		2.38"
"2024.02.21	2.38		2.23"
"2024.01.31	2.23		2.19"
"2024.01.10	2.19		2.45"
"2023.11.29	2.45		"
"2023.11.22			2.64"
"2023.11.08	2.64		"
"2023.10.25			2.90"
"2023.10.18	2.90		2.78"
"2023.09.27	2.78		2.63"
"2023.09.06	2.63		2.46"
"2023.08.09	2.46		2.64"
"2023.07.12	2.64		2.39"
"2023.07.05	2.39		2.43"
"2023.06.14	2.43		2.31"
"2023.05.17	2.31		2.51"
"2023.04.19	2.51		2.32"
"2023.03.22	2.32		2.56"
"2023.02.22	2.56		2.27"
"2023.02.01	2.27		2.25"
"2023.01.11	2.25		1.95"
"2022.11.30	1.95		2.25"
"2022.11.09	2.25		2.07"
"2022.11.02	2.07		2.33"
"2022.10.12	2.33		1.87"
"2022.09.21	1.87		1.33"
"2022.08.24	1.33		0.94"
"2022.07.27	0.94		1.05"
"2022.07.20	1.05		1.22"
"2022.07.06	1.22		1.33"
"2022.06.08	1.33		0.96"
"2022.05.11	0.96		0.93"
"2022.05.04	0.93		0.83"
"2022.04.13	0.83		0.38"
"2022.03.16	0.38		-0.20"
"2022.03.02	-0.20		0.31"
"2022.02.16	0.31		-0.08"
"2022.01.26	-0.08		-0.09"
"2022.01.05	-0.09		-0.29"
"2021.11.10	-0.29		-0.16"
"2021.10.20	-0.16		-0.22"
"2021.09.29	-0.22		-0.38"
"2021.09.08	-0.38		-0.44"
"2021.08.11	-0.44		-0.30"
"2021.07.14	-0.30		-0.19"
"2021.06.16	-0.19		-0.09"
"2021.05.19	-0.09		-0.25"
"2021.04.21	-0.25		-0.36"
"2021.03.24	-0.36		-0.32"
"2021.02.24	-0.32		-0.54"
"2021.01.27	-0.54		-0.52"
"2021.01.06	-0.52		-0.57"
"2020.11.18	-0.57		-0.51"
"2020.10.07	-0.51		-0.50"
"2020.09.09	-0.50		-0.46"
"2020.08.12	-0.46		-0.46"
"2020.07.15	-0.46		-0.38"
"2020.06.17	-0.38		-0.47"
"2020.05.20	-0.47		-0.48"
"2020.04.29	-0.48		-0.34"
"2020.04.08	-0.34		-0.77"
"2020.03.11	-0.77		-0.38"
"2020.02.12	-0.38		-0.25"
"2020.01.08	-0.25		-0.33"
"2019.12.04	-0.33		-0.29"
"2019.11.13	-0.29		-0.41"
"2019.10.23	-0.41		-0.61"
"2019.09.25	-0.61		-0.70"
"2019.08.28	-0.70		-0.41"
"2019.07.31	-0.41		-0.26"
"2019.07.10	-0.26		-0.24"
"2019.06.12	-0.24		-0.07"
"2019.05.22	-0.07		0.02"
"2019.04.24	0.02		-0.05"
"2019.03.27	-0.05		0.12"
"2019.02.27	0.12	0.16	0.20"
"2019.01.30	0.20	0.34	0.29"
"2019.01.09	0.29	0.30	0.34"
"2018.11.28	0.34	0.42	0.42"
"2018.11.07	0.42		0.55"
"2018.10.10	0.55		0.49"
"2018.09.19	0.49		0.33"
"2018.08.22	0.33		0.47"
"2018.08.01	0.47		0.36"
"2018.07.11	0.36		0.48"
"2018.06.13	0.48		0.62"
"2018.05.16	0.62		0.51"
"2018.04.18	0.51		0.60"
"2018.03.21	0.60		0.67"
"2018.02.28	0.67		0.69"
"2018.02.07	0.69		0.54"
"2018.01.10	0.54		0.30"
"2017.12.06	0.30		0.36"
"2017.11.15	0.36		0.48"
"2017.10.25	0.48		0.44"
"2017.10.04	0.44		0.39"
"2017.09.13	0.39		0.41"
"2017.08.23	0.41		0.49"
"2017.08.02	0.49		0.59"
"2017.07.12	0.59		0.26"
"2017.06.14	0.26		0.39"
"2017.05.24	0.39		0.33"
"2017.05.03	0.33		0.21"
"2017.04.12	0.21		0.41"
"2017.03.22	0.41		0.25"
"2017.03.01	0.25		0.33"
"2017.02.08	0.33		0.36"
"2017.01.11	0.36		0.21"
"2016.11.23	0.21		0.12"
"2016.11.02	0.12		-0.03"
"2016.10.05	-0.03		-0.11"
"2016.09.07	-0.11		-0.09"
"2016.08.10	-0.09		-0.05"
"2016.07.13	-0.05		0.01"
"2016.06.15	0.01		0.14"
"2016.05.18	0.14		0.15"
"2016.04.20	0.15		0.30"
"2016.03.16	0.30		0.26"
"2016.02.17	0.26		0.59"
"2016.01.13	0.59		0.49"
"2015.11.25	0.49		0.44"
"2015.10.28	0.44		0.62"
"2015.10.07	0.62		0.69"
"2015.09.09	0.69		0.61"
"2015.08.12	0.61		0.88"
"2015.07.15	0.88		0.81"
"2015.06.17	0.81		0.65"
"2015.05.13	0.65		0.13"
"2015.04.15	0.13		0.25"
"2015.03.18	0.25		0.37"
"2015.02.18	0.37		0.52"
"2015.01.14	0.52		0.74"
"2014.11.26	0.74		0.87"
"2014.10.29	0.87		0.93"
"2014.10.01	0.93		1.05"
"2014.09.10	1.05		1.08"
"2014.08.13	1.08		1.20"
"2014.07.16	1.20		1.39"
"2014.06.18	1.39		1.41"
"2014.05.21	1.41		1.49"
"2014.04.16	1.49		1.58"
"2014.03.19	1.58		1.64"
"2014.02.19	1.64		1.77"
"2014.01.29	1.77		1.69"
"2013.11.27	1.69		1.71"
"2013.10.30	1.71		1.79"
"2013.10.02	1.79		2.06"
"2013.09.11	2.06		1.80"
"2013.08.14	1.80		1.57"
"2013.07.17	1.57		1.55"
"2013.06.19	1.55		1.41"
"2013.05.22	1.41		1.28"
"2013.04.17	1.28		1.36"
"2013.03.20	1.36		1.66"
"2013.02.20	1.66		1.56"
"2013.01.16	1.56		1.40"
"2012.11.21	1.40		1.56"
"2012.10.24	1.56		1.52"
"2012.09.26	1.52		1.42"
"2012.09.05	1.42		1.42"
"2012.08.08	1.42		1.31"
"2012.07.11	1.31		1.52"
"2012.06.13	1.52		1.47"
"2012.05.16	1.47		1.77"
"2012.04.11	1.77		"
